detention_facility,state,state_count
ETOWAH COUNTY JAIL (ALABAMA),AL,1
MCHENRY COUNTY CORRECTIONAL FACILITY,IL,1
ANNEX - FOLKSTON IPC,GA,1
CAROLINE DETENTION FACILITY,VA,1
BAKER COUNTY SHERIFF'S OFFICE,FL,1
SAN LUIS REGIONAL DETENTION CENTER,AZ,1
ALEXANDRIA STAGING FACILITY,LA,1
BOSSIER PARISH COR. CENTER,LA,1
DENVER CONTRACT DETENTION FACILITY (CDF) II,CO,1
NEVADA SOUTHERN DETENTION CENTER,NV,1
FLORENCE STAGING FACILITY,AZ,1
HENDERSON DETENTION CENTER,NV,1
KARNES COUNTY RESIDENTIAL CENTER,TX,1
COASTAL BEND DETENTION FACILITY,TX,1
OKMULGEE COUNTY JAIL,OK,1
ROLLING PLAINS DETENTION CENTER,TX,1
PIKE COUNTY CORRECTIONAL FACILITY,PA,1
SOUTH LOUISIANA DETENTION CENTER,LA,1
BRISTOL COUNTY DETENTION CENTER,MA,1
CALHOUN COUNTY CORRECTIONAL CENTER,MI,1
YUBA COUNTY JAIL,CA,1
KENOSHA COUNTY DETENTION CENTER,WI,1
PULASKI COUNTY JAIL,IL,1
WORCESTER COUNTY JAIL,MD,1
KANKAKEE COUNTY JAIL (JEROME COMBS DET CTR),IL,1
SUFFOLK COUNTY HOUSE OF CORRECTIONS,MA,1
JAMES A. MUSICK FACILITY,CA,1
LIMESTONE COUNTY DETENTION CENTER,TX,1
BOONE COUNTY JAIL,KY,1
DODGE COUNTY JAIL,WI,1
TULSA COUNTY JAIL (DAVID L. MOSS JUSTICE CTR),OK,1
LA SALLE COUNTY REGIONAL DETENTION CENTER,TX,1
ADAMS COUNTY DET CENTER,MS,1
STRAFFORD COUNTY CORRECTIONS,NH,1
WAKULLA COUNTY JAIL,FL,1
VAL VERDE CORRECTIONAL FACILITY,TX,1
CHARLESTON COUNTY DETENTION CENTER,SC,1
HALL COUNTY DEPARTMENT OF CORRECTIONS,NE,1
MONROE COUNTY DETENTION CENTER,FL,1
CATAHOULA CORRECTIONAL CENTER,LA,1
HOWARD COUNTY DETENTION CENTER,MD,1
EAST HIDALGO DETENTION CENTER,TX,1
CHASE COUNTY DETENTION FACILITY,KS,1
ROBERT A. DEYTON DETENTION FACILITY,GA,1
FREEBORN COUNTY ADULT DETENTION CENTER,MN,1
SAINT CLAIR COUNTY JAIL,MI,1
MONROE COUNTY DETENTION-DORM,MI,1
WYATT DETENTION CENTER,RI,1
ALLEN PARISH PUBLIC SAFETY COMPLEX,LA,1
EDEN DETENTION CENTER,TX,1
GEAUGA COUNTY JAIL,OH,1
CLINTON COUNTY CORRECTIONAL FACILITY,PA,1
HARDIN COUNTY JAIL,IA,1
MORGAN COUNTY ADULT DETENTION CENTER,MO,1
SENECA COUNTY JAIL,OH,1
KANDIYOHI COUNTY JAIL,MN,1
VIRGINIA PENINSULA REGIONAL JAIL,VA,1
CLAY COUNTY JAIL,IN,1
MARSHALL COUNTY JAIL,IA,1
CAMBRIA COUNTY JAIL,PA,1
FREDERICK COUNTY DETENTION CENTER,MD,1
ANNE ARUNDEL COUNTY ORDNANCE ROAD CORRECTIONAL CTR,MD,1
CACHE COUNTY JAIL,UT,1
ALBANY COUNTY JAIL,NY,1
BROOKS COUNTY DETENTION CENTER,TX,1
MORROW COUNTY CORRECTIONAL FACILITY,OH,1
