State,Facility,Number,Level 1,Level 2,Level 3,Not Convicted
Mississippi,MSSOUCC - SOUTH MISS COR CTR,24,21%,4%,46%,29%
Mississippi,MSSTPEN - MISSISSIPPI STATE PENT,6,0%,17%,0%,83%
Mississippi,NESHOMS - NESHOBA CO. LAW ENF. CENTER,10,0%,0%,0%,100%
Mississippi,NEWTOMS - NEWTON COUNTY JAIL,1,0%,0%,0%,100%
Mississippi,OCEANMS - OCEAN SPRINGS POLICE DEPT/JAIL,6,0%,0%,67%,33%
Mississippi,OKITIMS - OKTIBBEHA COUNTY JAIL,6,0%,0%,17%,83%
Mississippi,PASCAMS - PASCAGOULA POLICE DEPT/JAIL,49,2%,2%,31%,65%
Mississippi,PEARLMS - PEARL RIVER JUSTICE CENTER,63,3%,0%,32%,65%
Mississippi,PICAYMS - PICAYUNE POLICE DEPT/JAIL,13,0%,0%,46%,54%
Mississippi,PIKCOMS - PIKE COUNTY JAIL,19,0%,0%,21%,79%
Mississippi,PONTOMS - PONTOTOC COUNTY JAIL,11,0%,0%,0%,100%
Mississippi,RANKIMS - RANKIN COUNTY JAIL,125,0%,0%,15%,85%
Mississippi,SCOTTMS - SCOTT COUNTY JAIL,62,0%,0%,3%,97%
Mississippi,SIMPSMS - SIMPSON COUNTY JAIL,14,14%,0%,29%,57%
Mississippi,SMITHMS - SMITH COUNTY JAIL,5,0%,0%,0%,100%
Mississippi,STRKVMS - STARKVILLE POLICE DEPT.,1,0%,0%,0%,100%
Mississippi,SUNFLMS - SUNFLOWER COUNTY JAIL,2,0%,0%,0%,100%
Mississippi,TALLAMS - TALLAHATCHIE CO CORR FACILITY,1,0%,0%,0%,100%
Mississippi,TATECMS - TATE COUNTY JAIL,2,0%,0%,0%,100%
Mississippi,"USMNDMS - US MARSHALS, N. DIST. MS",6,17%,0%,0%,83%
Mississippi,"USMSDMS - US MARSHALS, S.DIST, MS",23,22%,17%,35%,26%
Mississippi,WARREMS - WARREN COUNTY DET. CENTER,4,0%,0%,25%,75%
Mississippi,WASHIMS - WASHINGTON COUNTY JAIL,2,0%,0%,0%,100%
Mississippi,WAYNEMS - WAYNE COUNTY JAIL,30,0%,3%,33%,63%
Mississippi,WILKEMS - WILKERSON COUNTY CORR CTR,2,0%,0%,0%,100%
Mississippi,WILKIMS - WILKINSON COUNTY JAIL,2,0%,0%,0%,100%
Missouri,ARORAMO - AURORA POLICE DEPT.,1,0%,0%,0%,100%
Missouri,AUDRNMO - AUDRAIN COUNTY JAIL,4,25%,0%,0%,75%
Missouri,BARRYMO - BARRY COUNTY JAIL,11,0%,0%,0%,100%
Missouri,BARTNMO - BARTON COUNTY SHERIFF,1,0%,0%,0%,100%
Missouri,BERKEMO - BERKELEY CITY JAIL,8,0%,0%,13%,88%
Missouri,BLLWNMO - BALLWIN POLICE DEPT.,5,0%,0%,20%,80%
Missouri,BLUSPMO - BLUE SPRINGS POLICE DEPT.,1,0%,0%,0%,100%
Missouri,BOONEMO - BOONE COUNTY JAIL,66,6%,6%,14%,74%
Missouri,BOPSPG - SPRINGFIELD FED.MED.CNTR,7,43%,14%,29%,14%
Missouri,BRGTNMO - BRIDGETON POLICE DEPT.,28,0%,0%,7%,93%
Missouri,BRNSNMO - BRANSON POLICE DEPT.,13,0%,0%,23%,77%
Missouri,BRNWDMO - BRENTWOOD POLICE DEPT.,5,0%,0%,0%,100%
Missouri,BUCHAMO - BUCHANAN COUNTY JAIL,20,0%,5%,25%,70%
Missouri,CALDWMO - CALDWELL COUNTY JAIL,7,14%,0%,29%,57%
Missouri,CALLAMO - CALLAWAY COUNTY JAIL,6,0%,33%,50%,17%
Missouri,CAMDNMO - CAMDEN COUNTY SHERIFF,19,0%,5%,26%,68%
Missouri,CARROMO - CARROLL COUNTY JAIL,2,0%,0%,50%,50%
Missouri,CASSCMO - CASS COUNTY JAIL,44,2%,0%,14%,84%
Missouri,CEDARMO - CEDAR COUNTY JAIL,1,0%,0%,0%,100%
Missouri,CHRISMO - CHRISTIAN CO SHERIFF DEPT,20,10%,5%,10%,75%
Missouri,CHSTRMO - CHESTERFIELD POLICE DEPT.,6,0%,0%,17%,83%
Missouri,CLACOMO - CLAY COUNTY JAIL,60,2%,2%,22%,75%
Missouri,CLAJUMO - CLAY COUNTY JUVENILE,1,0%,0%,0%,100%
Missouri,CLINTMO - CLINTON COUNTY JAIL,5,0%,20%,0%,80%
Missouri,CPGIRMO - CAPE GIRARDEAU COUNTY JAIL,12,0%,0%,0%,100%
Missouri,CPGPDMO - CAPE GIRARDEAU POLICE DEPT.,8,0%,0%,25%,75%
Missouri,CRLJCMO - CARL JUNCTION POLICE DEPT.,1,0%,0%,100%,0%
Missouri,CRTHGMO - CARTHAGE POLICE DEPT.,56,11%,4%,29%,57%
Missouri,CRVCRMO - CREVE COEUR POLICE DEPT.,3,0%,0%,0%,100%
Missouri,DADECMO - DADE COUNTY JAIL,4,50%,0%,25%,25%
Missouri,DPDPSMO - DES PERES DPS,3,0%,0%,67%,33%
Missouri,DUNKLMO - DUNKLIN COUNTY SHERIFF/JAIL,18,0%,0%,0%,100%
Missouri,FLRSNMO - FLORISSANT POLICE DEPT.,1,0%,0%,0%,100%
Missouri,FRANCMO - FRANKLIN COUNTY JAIL,4,0%,0%,25%,75%
Missouri,GREENMO - GREENE COUNTY JAIL,84,0%,2%,14%,83%
Missouri,GRNPDMO - GRANDVIEW POLICE DEPT.,6,0%,0%,33%,67%
Missouri,GRNWDMO - GREENWOOD POLICE DEPT.,1,0%,0%,0%,100%
Missouri,GRUNDMO - GRUNDY COUNTY SHERIFF/JAIL,2,0%,0%,0%,100%
Missouri,HOWLLMO - HOWELL COUNTY SHERIFF,8,0%,0%,50%,50%
Missouri,HZLWDMO - HAZELWOOD POLICE DEPT,3,0%,0%,33%,67%
Missouri,INDPNMO - INDEPENDENCE POLICE DEPT.,14,0%,0%,7%,93%
Missouri,JACKSMO - JACKSON COUNTY JAIL,137,5%,5%,12%,78%
Missouri,JASPEMO - JASPER COUNTY JAIL,67,0%,10%,25%,64%
Missouri,JENNIMO - JENNINGS CITY JAIL,1,0%,0%,0%,100%
Missouri,JOHNSMO - JOHNSON COUNTY JAIL,24,0%,0%,21%,79%
Missouri,JOPLIMO - JOPLIN CITY JAIL,17,6%,12%,18%,65%
Missouri,KANHOLD - KANSAS CITY HOLDROOM,50,8%,6%,18%,68%
Missouri,KSCTYMO - KANSAS CITY POLICE DEPT.,39,5%,3%,18%,74%
Missouri,LACLEMO - LACLEDE COUNTY JAIL,7,0%,14%,14%,71%
Missouri,LADUEMO - LADUE POLICE DEPT.,2,0%,0%,0%,100%
Missouri,LAFEYMO - LAFAYETTE COUNTY JAIL,16,6%,0%,6%,88%
Missouri,LAWREMO - LAWRENCE COUNTY SHERIFF,18,6%,6%,39%,50%
Missouri,LESMTMO - LEE'S SUMMIT POLICE DEPT,16,0%,0%,44%,56%
Missouri,LINCOMO - LINCOLN COUNTY SHERIFF'S,13,0%,8%,15%,77%
Missouri,LSMITMO - LEE'S SUMMIT POLICE DEPT.,3,0%,33%,0%,67%
Missouri,MADISMO - MADISON COUNTY SHERIFF/JAIL,4,0%,0%,0%,100%
Missouri,MANCHMO - MANCHESTER POLICE DEPT.,12,17%,0%,17%,67%
Missouri,MARIOMO - MARION CO JAIL & L.E. CTR,4,0%,0%,0%,100%
Missouri,MCDONMO - MCDONALD COUNTY SERIFF,17,6%,0%,18%,76%
Missouri,MILLRMO - MILLER COUNTY JAIL,6,17%,0%,17%,67%
Missouri,MINERMO - MINER CITY POLICE DEPT.,1,0%,0%,0%,100%
Missouri,MISCOMO - MISSISSIPPI COUNTY DETENTION CENTE,7,14%,0%,57%,29%
Missouri,MOALGCC - ALGOA CORRECTIONAL CENTER,1,0%,0%,0%,100%
Missouri,MOBOOCC - BOONVILLE CORR. CENTER,2,50%,0%,0%,50%
Missouri,MOCENCC - CENTRAL MO CORR. CENTER,1,0%,0%,0%,100%
Missouri,MOERDCC - EAST REC DIAG CORR CENTER,29,10%,3%,3%,83%
Missouri,MOFARCC - FARMINGTON CORR. CENTER,33,52%,3%,0%,45%
Missouri,MOFULDC - FULTON DIAGNOSTIC CENTER,14,50%,14%,14%,21%
Missouri,MOMOBCC - MOBERLY CORR. CENTER,1,0%,0%,0%,100%
Missouri,MONOECC - NORTHEAST CORR. CENTER,6,0%,0%,17%,83%
Missouri,MONTGMO - MONTGOMERY COUNTY JAIL,7,0%,0%,43%,57%
Missouri,MORGNMO - MORGAN COUNTY SHERIFF'S DEPT,19,16%,11%,16%,58%
Missouri,MOSOCCC - SOUTH CENTRAL CORR. CENTER,1,100%,0%,0%,0%
Missouri,MOSOECC - SOUTHEAST CORR. CENTER,1,100%,0%,0%,0%
Missouri,MOSPJEF - MISSOURI STATE PEN.,3,33%,0%,0%,67%
Missouri,MOWESCF - WESTERN MO CORR. FACILITY,18,22%,6%,17%,56%
Missouri,MOWREDI - WEST REC DIAG CORR CENTER,13,31%,8%,8%,54%
Missouri,MPLWDMO - MAPLEWOOD POLICE DEPT.,4,0%,0%,25%,75%
Missouri,MRYHTMO - MARYLAND HEIGHTS POLICE DEPT.,17,0%,0%,6%,94%
Missouri,NEWTOMO - NEWTON COUNTY JAIL,37,3%,5%,11%,81%
Missouri,NMADRMO - NEW MADRID COUNTY SHERIFF/JAIL,5,0%,0%,40%,60%
Missouri,NODAWMO - NODAWAY COUNTY JAIL,2,50%,0%,0%,50%
Missouri,NVADAMO - NEVADA POLICE DEPT,1,0%,0%,0%,100%
Missouri,OLVTTMO - OLIVETTE POLICE DEPT.,2,0%,0%,0%,100%
Missouri,OSGBHMO - OSAGE BEACH POLICE DEPT.,2,0%,0%,0%,100%
Missouri,OVRLNMO - OVERLAND POLICE DEPT.,18,6%,0%,11%,83%
Missouri,OZARKMO - OZARK COUNTY JAIL,1,0%,0%,0%,100%
Missouri,PERRYMO - PERRY COUNTY JAIL,14,0%,7%,21%,71%
Missouri,PETISMO - PETTIS COUNTY JAIL,40,0%,3%,10%,88%
Missouri,PHELPMO - PHELPS COUNTY JAIL,3,0%,0%,33%,67%
Missouri,PLATTMO - PLATTE COUNTY JAIL,31,10%,3%,23%,65%
Missouri,PULASMO - PULASKI COUNTY SHERIFF,6,0%,0%,17%,83%
Missouri,RANDOMO - RANDOLPH COUNTY SHERIFF/JAIL,2,0%,0%,0%,100%
Missouri,RCHHTMO - RICHMOND HEIGHTS POLICE DEPT.,6,0%,0%,0%,100%
Missouri,SALINMO - SALINE COUNTY JAIL,7,0%,0%,29%,71%
Missouri,SCOTTMO - SCOTT COUNTY JAIL,21,0%,0%,14%,86%
Missouri,SHRWBMO - SHREWSBURY POLICE DEPT.,2,0%,0%,0%,100%
Missouri,SPRNGMO - SPRINGFIELD POLICE DEPT.,1,0%,0%,0%,100%
Missouri,STANNMO - ST. ANN POLICE DEPT.,21,0%,0%,0%,100%
Missouri,STCHAMO - ST. CHARLES COUNTY JAIL,65,3%,0%,9%,88%
Missouri,STCLAMO - ST. CLAIR COUNTY JAIL,1,0%,0%,0%,100%
Missouri,STFRAMO - ST. FRANCOIS COUNTY JAIL,3,0%,0%,33%,67%
Missouri,STGENMO - STE. GENEVIEVE COUNTY SHERIFF/JAIL,13,8%,0%,15%,77%
Missouri,STJHNMO - ST. JOHN POLICE DEPT.,1,0%,0%,0%,100%
Missouri,STLHOLD - ST. LOUIS HOLDROOM,4,0%,0%,0%,100%
Missouri,STLJCMO - ST . LOUIS CITY JUSTICE CENTER,46,2%,4%,7%,87%
Missouri,STLOUMO - ST. LOUIS COUNTY JAIL,172,5%,1%,13%,82%
Missouri,STONEMO - STONE COUNTY JAIL,8,0%,13%,0%,88%
Missouri,STPTRMO - ST. PETERS POLICE DEPT.,3,0%,0%,0%,100%
Missouri,STROBMO - ST. ROBERTS POLICE DEPT.,1,0%,0%,100%,0%
Missouri,SULLIMO - SULLIVAN COUNTY JAIL,1,0%,0%,0%,100%
Missouri,SUNSTMO - SUNSET HILLS POILICE DEPT.,2,0%,0%,0%,100%
Missouri,TANEYMO - TANEY COUNTY SHERIFF,18,6%,0%,39%,56%
Missouri,TEXASMO - TEXAS COUNTY SHERIFF,1,0%,0%,0%,100%
Missouri,TO&COMO - TOWN & COUNTRY POLICE DEPT.,6,0%,0%,0%,100%
Missouri,UNVRSMO - UNIVERSITY CITY POLICE DEPT.,1,0%,0%,0%,100%
Missouri,"USMEDMO - US MARSHALS, E. DISTRICT, MO",35,14%,9%,34%,43%
Missouri,"USMJCMO - US MARSHAL-JEFFERSON CITY, MO",3,0%,0%,67%,33%
Missouri,"USMSPMO - US MARSHAL-SPRINGFIELD, MO",21,24%,10%,38%,29%
Missouri,"USMWDMO - US MARSHALS, WEST DIST MO",36,11%,6%,17%,67%
Missouri,VRNONMO - VERNON COUNTY SHERIFF,8,0%,0%,38%,63%
Missouri,WARREMO - WARREN COUNTY JUSTICE CTR,8,0%,0%,13%,88%
Missouri,WBSGRMO - WEBSTER GROVES POLICE DEPT.,1,0%,0%,0%,100%
Missouri,WBSTRMO - WEBSTER COUNTY SHERIFF,2,0%,0%,50%,50%
Missouri,WEBCTMO - WEBB CITY POLICE DEPT.,7,0%,0%,14%,86%
Missouri,WRRNSMO - WARRENSBURG POLICE DEPT.,1,0%,0%,100%,0%
Montana,"BIGHOMT - BIG HORN COUNTY JAIL, MT",2,0%,0%,0%,100%
Montana,BVRHDMT - BEAVERHEAD CO DET CENTER,1,0%,0%,100%,0%
Montana,CHOUTMT - CHOUTEAU COUNTY JAIL,1,0%,0%,100%,0%
Montana,DAWSOMT - DAWSON COUNTY JAIL,6,0%,0%,83%,17%
Montana,FLATHMT - FLATHEAD COUNTY JAIL,2,0%,0%,0%,100%
Montana,GALLAMT - GALLATIN COUNTY JAIL,5,0%,0%,60%,40%
Montana,HILLCMT - HILL COUNTY JUSTICE CENTER,1,0%,0%,0%,100%
Montana,LAKCOMT - LAKE COUNTY JAIL,2,0%,0%,100%,0%
Montana,LEWISMT - LEWIS & CLARK COUNTY JAIL,3,0%,0%,33%,67%
Montana,MINERMT - MINERAL COUNTY JAIL,2,0%,0%,50%,50%
Montana,MISSOMT - MISSOULA COUNTY,1,0%,0%,0%,100%
Montana,MTSPRIS - MONTANA STATE PRISON,3,0%,33%,0%,67%
Montana,MUSSEMT - MUSSELSHELL COUNTY JAIL,1,100%,0%,0%,0%
Montana,POWDRMT - POWDER RIVER COUNTY JAIL,2,0%,50%,0%,50%
Montana,RICHLMT - RICHLAND COUNTY JAIL,2,0%,0%,50%,50%
Montana,ROSEBMT - ROSEBUD COUNTY JAIL,1,0%,0%,100%,0%
Montana,SWEETMT - SWEETWATER COUNTY JAIL,3,0%,0%,0%,100%
Montana,TOOLEMT - TOOLE COUNTY,1,0%,0%,0%,100%
Montana,"USMMT - US MARSHALS, MONTANA",8,0%,13%,25%,63%
Montana,YELLOMT - YELLOWSTONE COUNTY JAIL,9,11%,11%,22%,56%
Nebraska,"ADAMSNE - ADAMS CO JAIL, NEBRASKA",19,11%,5%,47%,37%
Nebraska,ANTLPNE - ANTELOPE COUNTY JAIL,3,0%,33%,33%,33%
Nebraska,BOONENE - BOONE COUNTY JAIL,4,0%,0%,0%,100%
Nebraska,BOXBUNE - BOX BUTTE CO. JAIL,9,11%,0%,33%,56%
Nebraska,BUFFANE - BUFFALO COUNTY JAIL,45,7%,0%,29%,64%
Nebraska,BUTLENE - BUTLER COUNTY JAIL,9,0%,0%,33%,67%
Nebraska,CASSCNE - CASS COUNTY JAIL,26,8%,15%,31%,46%
Nebraska,CEDARNE - CEDAR COUNTY JAIL,5,0%,20%,20%,60%
Nebraska,CHASENE - CHASE COUNTY JAIL,1,0%,0%,0%,100%
Nebraska,CHEYENE - CHEYENNE CO DETENTION CTR,9,0%,11%,0%,89%
Nebraska,CLAYCNE - CLAY COUNTY JAIL,5,0%,20%,20%,60%
Nebraska,COLFANE - COLFAX CO JAIL,3,0%,0%,67%,33%
Nebraska,CUSTENE - CUSTER COUNTY JAIL,8,0%,0%,13%,88%
Nebraska,DAKOTNE - DAKOTA COUNTY JAIL,83,8%,4%,34%,54%
Nebraska,DAWSONE - DAWSON COUNTY JAIL,144,1%,1%,28%,69%
Nebraska,DIXONNE - DIXON COUNTY JAIL,20,10%,0%,25%,65%
Nebraska,DOCORNE - DOUGLAS COUNTY CORRECTION,729,5%,4%,40%,51%
Nebraska,DODGENE - DODGE COUNTY JAIL,60,5%,0%,10%,85%
Nebraska,DOJUVNE - DOUGLAS CO JUV DET SVCES,3,0%,0%,0%,100%
Nebraska,FILMONE - FILLMORE COUNTY JAIL,2,0%,0%,0%,100%
Nebraska,FURNANE - FURNAS COUNTY JAIL,2,0%,0%,0%,100%
Nebraska,GAGCONE - GAGE COUNTY JAIL,4,0%,0%,0%,100%
Nebraska,"GARDENE - GARDEN CO, NE, JAIL",3,0%,0%,33%,67%
Nebraska,GRIHOLD - GRAND ISLAND HOLD ROOM,1,0%,0%,0%,100%
Nebraska,"HAMILNE - HAMILTON COUNTY JAIL, NEB",5,0%,0%,60%,40%
Nebraska,HASHENE - HALL COUNTY SHERIFF,405,5%,2%,39%,54%
Nebraska,HOLTCNE - HOLT COUNTY JAIL,13,0%,0%,23%,77%
Nebraska,JOHNSNE - JOHNSON COUNTY JAIL,1,0%,0%,0%,100%
Nebraska,KEARNNE - KEARNEY COUNTY JAIL,2,0%,0%,0%,100%
Nebraska,KEICONE - KEITH COUNTY JAIL,5,0%,0%,20%,80%
Nebraska,KNOXCNE - KNOX COUNTY JAIL,1,0%,0%,0%,100%
Nebraska,LANCANE - LANCASTER COUNTY JAIL,109,4%,6%,41%,49%
Nebraska,LINCONE - LINCOLN COUNTY JAIL,35,11%,9%,20%,60%
Nebraska,MADISNE - MADISON COUNTY JAIL,63,10%,11%,21%,59%
Nebraska,MERICNE - MERRICK COUNTY SHERIFF/JAIL,3,0%,0%,33%,67%
Nebraska,NEDOCLI - NEBRASKA DEPT OF CORRECTI,228,31%,5%,17%,47%
Nebraska,NEJUVNE - N.E.NEB.JUVENILE SERVICES,1,0%,0%,0%,100%
Nebraska,NMAHANE - NEMAHA COUNTY SHERIFF/JAIL,1,0%,0%,0%,100%
Nebraska,OMAHOLD - OMAHA FO HOLD,19,5%,5%,11%,79%
Nebraska,OMAPDNE - OMAHA POLICE DEPT.,6,0%,0%,17%,83%
Nebraska,OTOECNE - OTOE CO JAIL,12,17%,0%,25%,58%
Nebraska,PHELPNE - PHELPS COUNTY JAIL,27,0%,0%,22%,78%
Nebraska,PIERCNE - PIERCE CO JAIL,9,22%,0%,11%,67%
Nebraska,"PLATTNE - PLATTE COUNTY JAIL, NEBR.",216,3%,2%,37%,58%
Nebraska,RDWILNE - RED WILLOW COUNTY JAIL,1,0%,100%,0%,0%
Nebraska,SALINNE - SALINE COUNTY JAIL,68,3%,0%,40%,57%
Nebraska,SARPYNE - SARPY COUNTY JAIL,139,3%,4%,24%,68%
Nebraska,SAUNDNE - SAUNDERS COUNTY JAIL,61,5%,2%,34%,59%
Nebraska,SCOTTNE - SCOTTS BLUFF CO JAIL,65,6%,5%,25%,65%
Nebraska,SEWARNE - SEWARD COUNTY JAIL,15,7%,20%,13%,60%
Nebraska,THURSNE - THURSTON COUNTY JAIL,45,2%,9%,22%,67%
Nebraska,"USMLNNE - US MARSHALS, NE DISTRICT, LINCOLN",40,5%,8%,63%,25%
Nebraska,"USMOMNE - US MARSHALS, NE DISTRICT, OMAHA",180,23%,8%,60%,9%
Nebraska,VALCONE - VALLEY COUNTY JAIL,5,0%,0%,0%,100%
Nebraska,"WASHINE - WASHINGTON CO JAIL, BLAIR",8,25%,0%,0%,75%
Nebraska,YORCONE - YORK COUNTY SHERIFF'S OFFICE,8,25%,13%,13%,50%
Nevada,CARSNNV - CARSON CITY JAIL,59,3%,10%,41%,46%
Nevada,CHRCHNV - CHURCHILL COUNTY JAIL,9,0%,0%,44%,56%
Nevada,CLARKNV - CLARK COUNTY DET.CENTER,"2,645",11%,6%,27%,56%
Nevada,"CLKTKNV - CLARK COUNTY, TUCKER HOLD FAC.",1,0%,0%,100%,0%
Nevada,DOUGLNV - DOUGLAS COUNTY JAIL,29,3%,7%,38%,52%
Nevada,ELKOCNV - ELKO COUNTY JAIL,25,0%,0%,68%,32%
Nevada,ESMERNV - ESMERALDA COUNTY JAIL,7,0%,0%,29%,71%
Nevada,HENDENV - HENDERSON DETENTION,97,8%,11%,19%,62%
Nevada,HUMBONV - HUMBOLDT COUNTY JAIL,5,20%,0%,20%,60%
Nevada,LANDRNV - LANDER COUNTY JAIL,3,33%,0%,0%,67%
Nevada,LINCONV - LINCOLN COUNTY DET. CENTER,2,0%,0%,0%,100%
Nevada,LSVGSNV - CITY OF LAS VEGAS DET.CENTER,30,7%,7%,40%,47%
Nevada,LVGCINV - LAS VEGAS CITY JAIL,302,8%,6%,25%,60%
Nevada,LVGHOLD - LAS VEGAS HOLD ROOM,5,0%,0%,0%,100%
Nevada,LVMPDNV - LAS VEGAS METRO POLICE DEPT.,17,12%,6%,24%,59%
Nevada,LYONCNV - LYON COUNTY JAIL,9,22%,22%,33%,22%
Nevada,MSQTENV - CITY OF MESQUITE JAIL,15,7%,7%,67%,20%
Nevada,NLVPDNV - NORTH LAS VEGAS POLICE DEPT.,22,9%,14%,23%,55%
Nevada,NOLVGNV - NORTH LAS VEGAS,34,29%,6%,29%,35%
Nevada,NVELYSP - ELY STATE PRISON,8,75%,0%,13%,13%
Nevada,NVHIDES - NEVADA DOC - HIGH DESERT,127,27%,9%,17%,47%
Nevada,NVLOVCC - LOVELOCK CORRECTIONAL CTR,13,46%,0%,0%,54%
Nevada,NVNORCC - NORTHERN NEV CORR CTR,54,31%,7%,28%,33%
Nevada,NVPARPB - NV PAROLE AND PROBATION,1,0%,0%,0%,100%
Nevada,NVSDVNV - NEVADA SOUTHERN DETENTION CENTER,9,22%,11%,0%,67%
Nevada,NVSODES - SOUTHERN DESERT CORR CTR,21,52%,0%,14%,33%
Nevada,NVSOUCC - SOUTHERN NEV CORR CTR,4,0%,25%,75%,0%
Nevada,NVSOWOM - SOUTHERN NEVADA WOMANS CC,8,75%,0%,13%,13%
Nevada,NVWOMCC - NEV WOMENS CORR CTR,3,67%,0%,33%,0%
Nevada,NYEBTNV - NYE COUNTY SHERIFF-BEATTY,3,0%,33%,0%,67%
Nevada,NYECONV - NYE CO JAIL,9,0%,0%,22%,78%
Nevada,NYEPANV - NYE COUNTY SHERIFF-PAHRUMP,7,0%,43%,43%,14%
Nevada,PERSHNV - PERSHING COUNTY JAIL,2,50%,0%,0%,50%
Nevada,STORYNV - STORY COUNTY JAIL,1,0%,0%,0%,100%
Nevada,"USMREN - US MARSHAL'S, RENO",13,31%,8%,23%,38%
Nevada,WASHONV - WASHOE COUNTY JAIL,464,9%,8%,39%,44%
Nevada,WHTPNNV - WHITE PINE COUNTY JAIL,2,0%,0%,50%,50%
New Hampshire,BELKNNH - BELKNAP COUNTY JAIL,4,25%,0%,25%,50%
New Hampshire,HILLSNH - HILLSBOROUGH COUNTY JAIL,100,14%,8%,30%,48%
New Hampshire,MANHOLD - MANCHESTER HOLDROOM,7,0%,0%,14%,86%
New Hampshire,MERRINH - MERRIMACK COUNTY JAIL,10,10%,0%,10%,80%
New Hampshire,"NHSPCON - NH STATE PRISON, CONCORD",19,53%,5%,16%,26%
New Hampshire,NHSPGOF - NEW HAMPSHIRE STATE PRISON,5,0%,0%,20%,80%
New Hampshire,NHSPWOM - NH STATE PRISON FOR WOMEN,2,50%,0%,0%,50%
New Hampshire,ROCKINH - ROCKINGHAM COUNTY JAIL,26,12%,0%,15%,73%
New Hampshire,STRAFNH - STRAFFORD CO. CORRECTION,64,9%,5%,14%,72%
New Jersey,AKPSYNJ - ANNE KLEIN PHSYCHIATRIC INSTITUTE,1,0%,0%,100%,0%
New Jersey,ATLANNJ - ATLANTIC COUNTY JAIL,219,12%,3%,22%,63%
New Jersey,BERGENJ - BERGEN COUNTY JAIL,470,10%,4%,17%,70%
New Jersey,BOPFAI - FAIRTON FCI,39,44%,3%,38%,15%
New Jersey,BOPFTD - FORT DIX FED.CORR.INST.,114,80%,4%,15%,2%
New Jersey,BURLINJ - BURLINGTON COUNTY JAIL,134,5%,5%,16%,74%
New Jersey,CAMDENJ - CAMDEN COUNTY JAIL,198,4%,4%,12%,81%
New Jersey,CAPEMNJ - CAPE MAY COUNTY JAIL,53,4%,4%,11%,81%
New Jersey,CUMBENJ - CUMBERLAND COUNTY JAIL,389,4%,3%,13%,80%
New Jersey,DHDFNJ - DELANEY HALL DETENTION FACILITY,2,0%,0%,0%,100%
New Jersey,ELZICDF - ELIZABETH CONTRACT D.F.,5,0%,0%,0%,100%
New Jersey,ESSEXNJ - ESSEX COUNTY JAIL,606,14%,4%,21%,61%
New Jersey,GLOUCNJ - GLOUCESTER COUNTY JAIL,33,0%,0%,24%,76%
New Jersey,HUDSONJ - HUDSON COUNTY JAIL,640,10%,6%,17%,66%
New Jersey,HUNTRNJ - HUNTERDON COUNTY JAIL,78,12%,8%,23%,58%
New Jersey,MERCENJ - MERCER COUNTY JAIL,179,6%,6%,15%,74%
New Jersey,MIDDLNJ - MIDDLESEX COUNTY JAIL,544,8%,6%,18%,68%
New Jersey,MONMONJ - MONMOUTH COUNTY JAIL,483,7%,4%,19%,69%
New Jersey,MORRINJ - MORRIS COUNTY JAIL,211,5%,7%,20%,69%
New Jersey,NEWHOLD - NEW/INS OS HOLD ROOM,28,11%,4%,11%,75%
New Jersey,NEWRKNJ - NEWARK POLICE DEPT.,2,0%,0%,0%,100%
New Jersey,NJADUTC - ADULT DIAGNOSTIC & TRTMNT,16,94%,0%,0%,6%
New Jersey,NJAWYCF - ALBERT C WAGNER YOUTH C.F.,18,83%,0%,11%,6%
New Jersey,NJDCCRA - CENTRAL RECEPTION & ASSIGNMENT,45,42%,20%,20%,18%
New Jersey,NJEMWOM - EDNA MAHAN WOMENS' CORR.,23,48%,4%,22%,26%
New Jersey,NJGSREC - GRDN STATE RECEPTION CTR,30,77%,7%,3%,13%
New Jersey,NJMIDSP - MID-STATE CORR. FACILITY,42,69%,2%,19%,10%
New Jersey,NJMTYCF - MOUNTAINVIEW YOUTH C.F.,27,48%,19%,19%,15%
New Jersey,NJNORSP - NORTHERN STATE PRISON,39,64%,8%,15%,13%
New Jersey,NJSOUCF - SOUTHERN STATE CORR. FAC.,43,60%,14%,23%,2%
New Jersey,NJSPLEE - BAYSIDE STATE PRISON,23,61%,0%,39%,0%
New Jersey,NJSPRAH - EAST JERSEY STATE PRISON,13,69%,0%,0%,31%
New Jersey,NJSPRIV - RIVERFRONT STATE PRISON,1,100%,0%,0%,0%
New Jersey,NJSPSWD - SOUTHWOOD STATE PRISON,38,74%,13%,11%,3%
New Jersey,NJSPTRE - N.J. STATE PRISON,13,31%,15%,23%,31%
New Jersey,OCEANNJ - OCEAN COUNTY JAIL,456,3%,4%,19%,73%
New Jersey,PANEWNJ - PORT AUTHORITY LOCK UP,3,0%,33%,0%,67%
New Jersey,PASSANJ - PASSAIC COUNTY JAIL,480,8%,4%,18%,71%
New Jersey,SALEMNJ - SALEM COUNTY JAIL,50,14%,2%,14%,70%
New Jersey,SOMERNJ - SOMERSET COUNTY JAIL,235,9%,6%,17%,69%
New Jersey,SUSSENJ - SUSSEX COUNTY JAIL,21,0%,5%,10%,86%
New Jersey,UNIONNJ - UNION COUNTY JAIL,326,12%,8%,20%,60%
New Jersey,"USMNJ - US MARSHALS, NEWARK, NJ",16,25%,0%,19%,56%
New Jersey,WARRENJ - WARREN COUNTY JAIL,39,15%,0%,36%,49%
New Mexico,ABQHOLD - ALBUQUERQUE HOLD ROOM,24,4%,13%,17%,67%
