State,Facility,Number,Level 1,Level 2,Level 3,Not Convicted
Alabama,TUSCAAL - TUSCALOOSA COUNTY JAIL,145,1%,1%,4%,94%
Alabama,"USMMDAL - US MARSHALS, M.DIST. AL",65,6%,3%,20%,71%
Alabama,WALKEAL - WALKER COUNTY JAIL,15,0%,0%,0%,100%
Alabama,WASHIAL - WASHINGTON COUNTY JAIL,3,33%,0%,33%,33%
Alabama,WILCXAL - WILCOX COUNTY JAIL,2,0%,0%,50%,50%
Alabama,WNSTNAL - WINSTON COUNTY JAIL,8,0%,0%,0%,100%
Alaska,AKCCANC - STATE COR CTR ANNEX ANCHO,1,0%,0%,0%,100%
Alaska,"AKCOOKI - COOK INLET PRETRIAL, ANCH",8,0%,13%,0%,88%
Alaska,AKFAIRB - FAIRBANKS CORR CTR,6,17%,0%,33%,50%
Alaska,AKHIGHL - HIGHLAND MTN COR CTR,4,25%,75%,0%,0%
Alaska,AKKETCH - KETCHIKAN REGIONAL CC,2,0%,0%,50%,50%
Alaska,"AKLEMON - LEMON CREEK, JUNEAU,AK",5,0%,20%,0%,80%
Alaska,"AKMATSU - MATSU PRETRIAL, PALMER AK",2,0%,0%,0%,100%
Alaska,AKPALMC - PALMER CORRECTIONAL CENTE,5,20%,20%,0%,60%
Alaska,AKWILCC - WILDWOOD STATE CORR. CTR.,2,0%,0%,0%,100%
Alaska,AKWILPT - WILDWOOD PRE-TRIAL FAC.,1,0%,0%,0%,100%
Alaska,ANCHOAK - ANCHORAGE JAIL,84,14%,5%,13%,68%
Alaska,DUTCHAK - DUTCH HARBOR CITY JAIL,2,0%,0%,0%,100%
Alaska,KODIAAK - KODIAK CITY JAIL,3,0%,0%,33%,67%
Arizona,APACHAZ - APACHE CO. JAIL,22,5%,5%,14%,77%
Arizona,AVOPDAZ - AVONDALE POLICE DEP'T.,122,5%,3%,52%,39%
Arizona,AZADOJF - ADOBE MOUNTAIN SCHOOL -JUV,41,10%,5%,7%,78%
Arizona,AZDCFTG - ADOC FT GRANT,1,100%,0%,0%,0%
Arizona,AZDCMAR - ADOC MARANA,7,57%,0%,29%,14%
Arizona,AZDCPHO - AZ DEPT OF CORRECTIONS,56,34%,9%,25%,32%
Arizona,"AZDCSAF - ADOC SAFFORD, AZ",17,47%,0%,47%,6%
Arizona,AZDCTUC - AZ DPT CORRECTIONS TUCSON,72,60%,11%,19%,10%
Arizona,AZSCDOU - AZ DPT CORRECTIONS DOU,5,60%,0%,20%,20%
Arizona,AZSPALH - ASPC ALHAMBRA,"2,726",53%,5%,32%,10%
Arizona,AZSPFLO - ARIZONA STATE PRISON COMP,18,33%,6%,17%,44%
Arizona,AZSPKNG - ARIZONA STATE PRISON-KINGMAN,1,100%,0%,0%,0%
Arizona,AZSPLEW - ASPC LEWIS,10,50%,0%,20%,30%
Arizona,AZSPPER - PERRYVILLE STATE PRISON,86,42%,8%,36%,14%
Arizona,AZSPWST - ARIZONA STATE PRISON-PHOENIX WEST,2,0%,0%,50%,50%
Arizona,AZSVCPC - ARIZONA SERVICE PRISON COMPLEX,6,33%,0%,50%,17%
Arizona,BOPPHX - PHOENIX FED.CORR.INST.,71,24%,13%,46%,17%
Arizona,BOPSAF - SAFFORD FED.CORR.INST.,90,57%,7%,13%,23%
Arizona,BOPTCN - TUCSON FED.CORR.INST.,222,46%,8%,42%,4%
Arizona,BOPTCP - US PENITENTIARY TUCSON,22,50%,9%,32%,9%
Arizona,CCADCAZ - CCA CENT.AZ.DET.CTR.,14,21%,7%,50%,21%
Arizona,"CCAFLAZ - CCA, FLORENCE CORRECTIONAL CENTER",40,15%,3%,40%,43%
Arizona,COCHIAZ - COCHISE CO JAIL BISBEE AZ,92,27%,7%,17%,49%
Arizona,COCONAZ - COCONINO CO DETENTION FACILITY,231,3%,3%,23%,71%
Arizona,DURJFAZ - DURANGO JUVENILE FAC.,11,9%,9%,27%,55%
Arizona,EAZ - ELOY FEDERAL CONTRACT FAC,2,0%,50%,0%,50%
Arizona,FLO - FLORENCE SPC,477,4%,2%,14%,79%
Arizona,FSF - FLORENCE STAGING FACILITY,124,8%,4%,22%,66%
